id,y
2534,2
3181,2
32496,2
122326,2
134715,2
134767,2
134785,2
136929,2
146673,2
163032,2
180735,2
187079,2
213202,2
237489,2
248254,2
267167,2
293323,2
324073,2
399523,2
459148,2
489881,2
490390,2
490400,2
630850,2
725171,2
735881,2
752973,2
760733,2
808409,2
827907,2
852232,2
978934,2
1003609,2
1009587,2
1009594,2
1011690,2
1104192,2
1108512,2
1112981,2
1127922,2
1134243,2
1195632,2
1275118,2
1300108,2
1348626,2
1452053,2
1455113,2
1494462,2
1511133,2
1533983,2
1552384,2
1582950,2
1583848,2
1631119,2
1729453,2
1732946,2
1778033,2
1809394,2
1913117,2
2025712,2
2064886,2
2094121,2
2311553,2
2453685,2
2462784,2
2473682,2
2512724,2
2541323,2
2566132,2
2599245,2
2717498,2
2718035,2
2785734,2
2787428,2
2788404,2
2821439,2
2834813,2
2835726,2
2849715,2
2855928,2
2858652,2
2864086,2
2864136,2
2868852,2
2877834,2
2919000,2
2951274,2
3094131,2
3114489,2
3129785,2
3152098,1
3180883,2
3205536,1
3239815,2
3248381,2
3276131,2
3278955,2
3278956,2
3300754,2
3326534,2
3376469,2
3383978,2
3385562,2
3390292,2
3391129,2
3391152,2
3396404,2
3399363,2
3401438,2
3401448,2
3401466,2
3401518,2
3402165,2
3402672,2
3403094,2
3403752,2
3403763,2
3408181,2
3416108,2
3419291,2
3420566,2
3424859,2
3481266,2
3582360,2
3583025,2
3584693,2
3602885,2
3606876,2
3608004,2
3687692,2
3725934,2
3739261,2
3740000,2
3740306,2
3756594,2
3761361,2
3762140,2
3774809,2
3775711,2
3829962,2
3838133,2
3846528,2
3846685,2
3847417,2
3849610,2
3851279,2
3851887,2
3857656,2
3857826,2
3857990,2
3859898,2
3863635,2
3871340,2
3873829,2
3875004,2
3875725,2
3876462,2
3876512,2
3876606,2
3876912,2
3876980,2
3877087,2
3877156,2
3877875,2
3878589,2
3878618,2
3878633,2
3878647,2
3878694,2
3878742,2
3878899,2
3879955,2
3880066,2
3880150,2
3880165,2
3880217,2
3880543,2
3880576,2
3880788,2
3880822,2
3881034,2
3881050,2
3881087,2
3881097,2
3881167,2
3881183,2
3881497,2
3881827,2
3882798,2
3897291,2
3898178,2
3899847,2
3903393,2
3903408,2
3904474,2
3906204,2
3912536,2
3913226,2
3916897,2
3925147,2
3925879,2
4125827,2
4193420,2
4251198,2
4308330,2
4384169,2
4443254,2
4454658,2
4456967,2
4459062,2
4459938,2
4461089,2
4463523,2
4469305,2
4516375,2
4659458,2
4659656,2
4696909,2
4733566,2
4763088,2
4765154,2
4789606,2
4829469,2
4840269,2
4846284,2
4860508,2
4925897,2
4969174,2
5024196,2
5043402,2
5051906,2
5053279,2
5119722,2
5123028,2
5147488,2
5167400,1
5181004,2
5298208,1
5298236,1
5298250,1
5298273,1
5298275,1
5298286,1
5298294,1
5298305,1
5298308,1
5298317,1
5298319,1
5298322,1
5298340,1
5298346,1
5298349,1
5298374,1
5298376,1
5377211,2
5427053,2
5433567,2
5514838,2
5530776,2
5532010,2
5565278,2
5624947,2
5662056,2
5684082,2
5966083,2
5986851,2
6080579,2
6137605,2
6189175,2
6214724,2
6271519,2
6436559,1
6502923,2
6738061,2
7028169,2
7089693,2
7089694,2
7154509,2
7167318,2
7204617,2
7211481,2
7220387,2
7225112,2
7248054,2
7262580,2
7368542,2
7398153,2
7402053,2
7550645,2
7571741,2
7593560,2
7757447,2
7782794,1
7783042,1
7783087,1
7960124,2
8069717,2
8071253,2
8118124,1
8127945,2
8182823,2
8203186,2
8278020,2
8362529,2
8441999,2
8482106,2
8614689,2
8681944,2
8775836,2
8801543,2
8831627,2
8841505,2
8855510,2
8855512,2
8865427,2
8865428,2
8866987,2
8867912,2
8889651,2
8889667,2
8890402,2
8899631,2
8905200,2
8909929,2
8922692,2
8922733,2
8939825,2
8939832,2
8940075,2
8946985,2
8946996,2
8947018,2
8947489,2
8948409,2
8948844,2
8950250,2
8960778,2
8960793,2
8962856,2
8962864,2
8963754,2
8964753,2
8965316,2
8966818,2
8967429,2
8967439,1
8968991,2
8968994,2
8983814,2
8985831,2
8987715,2
8988238,2
8988252,2
8989113,2
8989427,2
8990531,2
8990782,2
8991340,2
8991353,2
8991369,2
8991382,2
8991403,2
8991662,2
8991672,2
8991676,2
8991878,2
8992191,2
8992662,2
8992878,2
8992899,2
8994151,2
8995393,2
8996311,2
8996312,2
8996787,2
8997226,2
8997717,2
8997754,2
8997768,2
8998609,2
8999049,2
9000907,2
9001347,2
9001385,2
9001398,2
9001433,2
9001445,2
9001469,2
9001563,2
9001915,2
9002408,2
9002580,2
9002592,2
9002912,2
9003592,2
9004489,2
9005413,2
9006038,2
9006240,2
9006252,2
9006870,2
9007371,2
9007986,2
9008375,2
9011822,2
9026762,2
9038743,2
9189162,2
9207307,2
9221284,2
9366436,2
9425781,2
9577048,2
9605829,2
9609989,2
9667606,2
9683339,2
9694736,2
9801858,2
9915603,2
10000476,1
10000510,1
10304380,2
10345597,2
10346912,2
10379337,2
10386895,2
10471946,2
10538195,2
10545229,2
10556557,2
10703765,2
10707302,2
10738753,2
10738910,2
10788689,2
10864015,2
10933506,1
10965529,2
10983754,2
11011839,2
11028686,2
11177013,1
11196548,1
11230865,2
11237156,2
11242565,2
11278026,2
11343564,2
11460682,2
11484501,2
11502993,1
11792856,2
11797016,2
11895424,2
11957000,2
12129984,2
12199458,2
12221117,2
12379727,2
12379728,2
12379729,2
12402088,2
12427320,2
12530253,2
12530254,2
12530265,2
12530274,2
12530278,2
12530284,2
12530323,2
12641384,2
12730539,1
12730986,2
12776468,2
12902106,2
12946183,2
13041648,2
13089717,2
13156081,2
13164801,2
13237573,2
13237575,2
13239483,2
13239490,2
13272601,2
13300444,2
13346375,2
13403438,2
13598478,2
13606249,2
13616858,2
13642063,2
13644255,2
13773398,2
13813844,2
13908862,2
13995945,2
14060213,2
14105577,2
14337642,2
14341398,2
14351539,2
14353875,2
14356977,2
14365276,2
14379472,2
14385870,2
14630122,2
14740268,2
14754150,2
14754360,2
14843588,2
14843991,2
14847524,2
14849314,2
14927900,2
14929007,2
14942862,2
14946482,1
14946498,1
14946502,1
14946546,1
14946550,1
14946583,1
14946591,1
14948822,1
14948833,2
14948853,2
14948913,1
14949429,1
14952717,2
14952734,2
14953672,2
14964616,2
14966550,2
14968853,2
14969345,2
14994481,2
15009284,2
15015097,2
15015569,2
15017077,2
15019080,2
15069499,2
15074194,2
15083121,2
15083663,2
15084017,2
15087677,2
15099151,2
15105310,2
15108126,2
15125437,2
15141494,2
15162820,2
15192868,2
15210316,2
15210510,2
15221556,1
15234332,2
15235228,2
15235240,2
15235742,1
15235784,1
15235793,1
15235799,1
15235811,1
15235816,1
15236007,1
15236318,1
15236323,1
15236333,1
15236338,1
15236463,1
15236476,1
15236485,1
15236494,1
15238267,1
15239309,1
15240358,1
15243252,2
15245851,2
15253029,2
15254893,1
15279998,2
15348903,2
15351650,2
15351660,2
15355249,2
15359782,2
15360333,2
15367366,2
15375440,2
15380861,2
15399002,2
15401619,2
15411642,2
15412164,2
15412769,2
15426612,2
15427765,2
15427790,2
15427796,2
15427810,2
15427820,2
15427828,2
15427833,2
15427842,2
15427851,2
15427897,2
15427910,2
15428383,2
15428388,2
15428402,2
15428416,2
15428432,2
15429613,2
15429692,2
15429703,2
15429720,2
15430383,2
15430754,2
15431025,2
15431069,2
15431490,2
15431495,2
15431497,2
15431503,2
15431516,2
15431799,2
15431808,2
15452232,2
15457573,2
15465672,2
15482419,2
15483941,1
15492826,2
15492835,2
15493448,2
15533893,2
15821102,2
15827453,2
15827578,2
15827584,2
15839263,2
15843097,2
15843652,1
15846984,2
15856841,1
15857236,1
15857241,1
15857749,1
15857751,1
15858282,1
15861217,2
15862101,2
15862117,2
15871986,2
15872590,2
15872598,2
15872619,2
15872621,2
15878270,2
15878564,2
15878933,2
15879403,2
15883790,2
15894637,2
15896759,2
15904201,2
15927794,2
15927887,2
15932037,2
15932048,2
15935251,2
15935264,2
15966722,1
15980720,2
15981966,2
15981972,2
15982986,2
15982991,2
15985913,2
15987405,2
15987674,2
15987682,2
15987686,2
15987824,2
15988941,2
15988969,2
15988981,2
15989037,2
15989048,2
15989062,2
15989080,2
15997902,2
16049565,2
16056983,2
16056987,2
16063129,2
16063772,2
16082366,2
16104632,2
16104643,2
16104645,2
16113836,2
16114281,2
16114710,2
16114768,2
16142734,2
16144422,2
16152154,1
16152474,1
16152980,1
16153583,2
16153597,2
16154842,2
16155707,1
16162295,2
16163222,2
16163976,2
16163977,2
16163978,2
16182250,2
16183498,2
16183706,2
16186478,2
16189762,2
16214063,2
16216080,2
16219649,2
16219723,2
16220772,2
16220777,2
16220781,2
16222797,2
16223567,2
16239353,2
16263438,2
16265193,2
16283222,2
16299597,2
16464132,2
16569581,2
16640457,2
16715544,2
16730061,2
16742787,1
16753577,1
16754007,1
16809915,1
16958199,2
16985124,2
16985127,2
16985129,2
16991737,2
17013432,2
17034811,2
17083916,2
17128828,2
17202711,2
17280710,1
17289448,2
17387772,1
17465155,2
17550801,2
17619833,2
17686353,2
17763829,1
17796937,1
17942794,1
17960521,2
18010442,2
18037121,2
18224137,2
18249608,2
18390847,2
18407726,2
18413413,2
18492589,2
18658959,2
18942922,2
19028886,2
19084356,2
19095619,2
19301508,2
19472391,2
19480572,2
19516248,2
19547985,2
19587099,2
19782889,2
19866655,2
19944082,2
20002498,2
20030272,2
20210169,2
20299563,2
20369363,2
20559615,2
20662346,2
20784545,2
20913405,2
21214842,2
21545821,2
21572361,2
21599005,1
21615373,2
21627002,1
21693082,2
21696455,2
21696456,2
21696461,2
21696830,2
21701149,1
21849726,2
21966147,2
22166038,2
22179034,2
22226403,2
22476628,2
22717810,1
22717812,1
22717814,1
22837779,2
22837784,2
22837788,2
22837792,2
22837799,2
22837800,2
22837806,2
22837808,2
22837815,2
22837816,2
22837818,2
22837820,2
22837826,2
22837838,2
22837842,2
22837844,2
22837845,2
22837847,2
22837852,2
22837853,2
22837858,2
22837859,2
22837869,2
22837876,2
22837890,2
22837895,2
22837896,2
22837898,2
22837904,2
22837907,2
22837908,2
22837913,2
22837915,2
22837917,2
22837918,2
22837919,2
22837920,2
22837925,2
22837927,2
22837929,2
22837932,2
22837937,2
22837944,2
22837945,2
22837956,2
22837965,2
22837969,2
22837970,2
22837973,2
22837980,2
22837982,2
22837986,2
22837998,2
22838004,2
22838010,2
22838016,2
22838023,2
22838024,2
22838027,2
22838028,2
22856624,2
22916415,2
22949008,2
23002760,2
23043266,2
23146168,1
23172096,2
23192847,2
23197275,2
23302700,2
23377758,2
23420414,2
23431274,2
23450745,2
23486282,2
23498001,2
23518684,2
23536520,2
23604301,2
23707414,2
23812310,2
23879619,2
23881442,2
24051859,1
24054196,2
24138725,2
24141114,1
24155910,1
24269083,1
24296835,2
24331408,2
24404821,2
24564863,2
24596125,2
24946775,2
24948616,2
25090315,2
25154839,2
25154862,2
25306105,2
25306937,2
25345446,2
25525528,2
25636252,2
25642291,2
25876681,1
25876780,1
25877557,1
25877561,1
25990824,1
26213002,2
26280812,2
26319468,2
26469681,2
26564271,2
26672423,2
26700310,2
26708537,2
26875738,2
26889623,2
26947361,2
27001252,1
27116228,2
27190466,2
27190469,2
27210820,1
27218698,2
27279853,2
27515556,1
27527984,2
27553029,2
27559152,2
27578561,2
27713316,2
27742555,1
27795549,2
27800808,2
27819025,2
27830384,2
27929553,2
28019606,2
28029883,2
28030823,2
28117675,2
28191716,2
28297225,2
28335362,1
28352616,2
28359967,2
28361537,2
28561754,2
28601468,1
28652697,2
28705346,2
28798027,2
28852285,2
29134449,2
29230183,2
29515797,2
29557010,2
29610273,2
29846258,2
29922517,2
30022545,1
30074536,2
30092366,2
30233709,1
30501530,2
30504216,1
30620621,2
30775171,2
30811863,2
30886080,2
31069162,2
31228978,1
31407056,2
31418337,2
31470427,2
31471408,2
31607639,2
31631921,2
31919623,2
32120805,2
32135772,2
32142414,2
32184286,2
32198446,2
32316521,2
32320039,2
32402639,2
32409670,2
32522010,2
32617852,2
32772483,2
32858679,2
32892107,2
32922975,2
32976149,2
33091092,2
33428696,1
33433578,2
33457749,2
33471466,2
33653824,2
33985051,2
34035328,2
34180032,2
34276464,2
34300577,2
34370978,2
34381792,2
34433298,2
34443430,2
34570609,1
34619495,2
34626149,2
34726495,2
34828962,2
34888844,2
34952355,2
34984461,2
34984980,2
35025113,2
35131819,2
35396077,2
35419241,1
35419251,1
35419254,1
35419513,1
35429655,1
35453031,2
35474458,2
35718761,2
35787152,2
35829870,2
35864385,2
35954679,2
35982595,2
36189820,2
36350939,2
36419682,2
36438817,2
36548283,2
36577650,2
36578884,2
36579896,2
36587040,2
36595285,2
36674908,1
36709425,1
36716791,2
36727322,1
36763524,2
36787463,2
36892884,2
36894085,2
36990363,2
36995074,2
37194505,2
37217978,2
37231293,2
37232600,2
37232610,2
37232616,2
37232633,2
37232699,2
37233996,2
37234029,2
37283751,2
37323470,2
37344313,2
37390149,2
37467271,2
37474612,2
37498494,2
37498505,1
37524383,2
37589548,2
37690948,2
37728334,2
37759155,2
37802886,2
37817141,2
37912240,2
38062994,2
38086807,2
38112556,2
38176446,2
38255847,2
38263817,2
38278543,2
38378866,2
38415512,2
38494021,2
38509215,2
38654036,2
38654044,2
38811224,2
38822473,2
39074420,2
39080155,1
39207536,2
39254182,2
39431431,2
39533091,2
39540998,2
39553415,2
39558250,2
39597250,2
39653737,2
39664719,2
39664723,2
39848316,2
40078953,2
40080931,2
40168070,1
40255840,2
40297647,2
40383948,2
40421269,2
40424704,2
40426667,2
40472629,2
40587631,2
40636231,2
40650473,2
40681242,1
40694214,2
40740335,2
40868708,2
41226885,2
41249229,1
41327438,2
41396639,2
41417793,2
41472082,2
41520412,1
41586217,2
41830054,2
41837143,2
41894457,2
42257137,2
42624346,2
42624355,2
42625962,2
42625965,2
42625982,2
42626007,2
42626764,2
42626773,2
42626781,2
42627141,1
42627147,1
42630648,2
42631802,2
42632399,2
42632805,2
42632812,2
42636993,2
42637887,2
42639025,2
42652413,2
42656306,2
42662324,2
42662351,2
42667105,2
42669679,2
42670162,2
42671033,2
42671117,2
42671120,2
42671144,2
42671998,2
42672012,2
42672864,2
42672869,2
42672892,2
42672902,2
42672927,2
42672928,2
42672933,2
42673765,2
42674483,2
42674484,2
42674487,2
42674491,2
42675020,2
42675024,2
42675202,2
42690802,2
42730960,2
42732319,2
